year,start_date,end_date
2024,2023-10-24,2024-04-14
2023,2022-10-18,2023-04-09
2022,2021-10-19,2022-04-10
2021,2020-12-22,2021-05-16
2020,2019-10-22,2020-08-14
2019,2018-10-16,2019-04-10
2018,2017-10-17,2018-04-11
2017,2016-10-25,2017-04-12
2016,2015-10-27,2016-04-13
2015,2014-10-28,2015-04-15
2014,2013-10-29,2014-04-16
2013,2012-10-30,2013-04-17
2012,2011-12-25,2012-04-26
2011,2010-10-26,2011-04-13
2010,2009-10-27,2010-04-14
2009,2008-10-28,2009-04-15
2008,2007-10-30,2008-04-16
2007,2006-10-31,2007-04-18
2006,2005-11-01,2006-04-19
2005,2004-11-02,2005-04-20
2004,2003-10-28,2004-04-14
2003,2002-10-29,2003-04-16
2002,2001-10-30,2002-04-17
2001,2000-10-31,2001-04-18
2000,1999-11-02,2000-04-19
1999,1999-02-05,1999-05-05
1998,1997-10-31,1998-04-19
